iter	Passed	Remaining
0	141	35315
1	143	17794
2	144	11917
3	145	8969
4	146	7199
5	148	6022
6	149	5177
7	150	4542
8	151	4049
9	152	3653
10	153	3330
11	154	3062
12	155	2835
13	156	2638
14	157	2469
15	158	2320
16	159	2189
17	160	2072
18	161	1967
19	163	1875
20	164	1789
21	165	1711
22	166	1640
23	167	1575
24	168	1515
25	169	1460
26	170	1409
27	171	1361
28	172	1317
29	173	1275
30	175	1236
31	176	1200
32	177	1165
33	178	1132
34	179	1102
35	180	1073
36	181	1046
37	182	1020
38	184	995
39	185	972
40	186	950
41	187	928
42	188	908
43	189	889
44	191	870
45	192	852
46	193	834
47	194	818
48	195	801
49	196	786
50	197	771
51	198	757
52	199	743
53	201	730
54	202	717
55	203	704
56	204	692
57	205	680
58	206	668
59	207	657
60	208	646
61	209	636
62	211	626
63	212	616
64	213	607
65	214	597
66	215	588
67	216	580
68	217	571
69	218	563
70	220	554
71	221	546
72	222	539
73	223	531
74	224	523
75	225	516
76	226	509
77	227	502
78	228	495
79	230	488
80	231	482
81	232	475
82	233	469
83	234	463
84	235	457
85	236	451
86	237	445
87	239	440
88	240	434
89	241	428
90	242	423
91	243	418
92	244	412
93	245	407
94	246	402
95	248	397
96	249	392
97	250	388
98	251	383
99	252	378
100	253	373
101	254	369
102	255	365
103	256	360
104	257	356
105	259	351
106	260	347
107	261	343
108	262	339
109	263	335
110	264	331
111	265	327
112	266	323
113	267	319
114	268	315
115	270	311
116	271	308
117	272	304
118	273	300
119	274	297
120	275	293
121	276	290
122	277	286
123	278	283
124	279	279
125	281	276
126	282	273
127	283	269
128	284	266
129	285	263
130	286	260
131	287	256
132	288	253
133	289	250
134	290	247
135	291	244
136	292	241
137	293	238
138	294	235
139	296	232
140	297	229
141	298	226
142	299	223
143	300	221
144	301	218
145	302	215
146	303	212
147	304	210
148	305	207
149	306	204
150	307	201
151	309	199
152	310	196
153	311	194
154	312	191
155	313	188
156	314	186
157	315	183
158	316	181
159	317	178
160	318	176
161	319	173
162	320	171
163	321	168
164	323	166
165	324	164
166	325	161
167	326	159
168	327	157
169	328	154
170	329	152
171	331	150
172	332	147
173	333	145
174	334	143
175	335	141
176	336	138
177	337	136
178	339	134
179	340	132
180	341	130
181	342	127
182	343	125
183	344	123
184	345	121
185	346	119
186	348	117
187	349	115
188	350	113
189	351	110
190	352	108
191	353	106
192	354	104
193	356	102
194	357	100
195	358	98
196	359	96
197	360	94
198	362	92
199	363	90
200	364	88
201	365	86
202	367	84
203	368	83
204	369	81
205	370	79
206	371	77
207	372	75
208	373	73
209	374	71
210	376	69
211	377	67
212	378	65
213	379	63
214	380	61
215	382	60
216	383	58
217	384	56
218	385	54
219	386	52
220	387	50
221	388	49
222	389	47
223	391	45
224	392	43
225	393	41
226	394	39
227	395	38
228	396	36
229	397	34
230	399	32
231	400	31
232	401	29
233	402	27
234	403	25
235	405	24
236	406	22
237	407	20
238	408	18
239	409	17
240	410	15
241	411	13
242	412	11
243	413	10
244	415	8
245	416	6
246	417	5
247	418	3
248	419	1
249	421	0
