feature,mean_abs_shap,mean_shap,std_shap
mean concave points,0.0056567965,-0.00030337946,0.0058967937
worst concave points,0.0054559903,6.890188e-05,0.005844533
worst radius,0.0026940403,-0.00032538656,0.0031065869
worst perimeter,0.0019980746,0.00055024616,0.0020472258
worst area,0.0016395596,-0.00029591087,0.0019176081
worst concavity,0.0002047419,0.00014786696,0.00022910957
mean area,0.00016932384,-6.863692e-05,0.00022337733
worst texture,0.00014012844,3.46025e-05,0.000252882
area error,0.00013051406,6.647108e-05,0.00019219119
mean concavity,8.538245e-05,5.037903e-05,9.403394e-05
mean texture,7.7647754e-05,1.611432e-05,0.00012001344
mean radius,4.4332013e-05,5.5699547e-06,7.122887e-05
worst compactness,2.3000943e-05,1.0360388e-06,3.261134e-05
concavity error,1.3368361e-05,2.4989904e-06,1.7162754e-05
fractal dimension error,6.9543503e-06,-3.7478785e-07,1.4098236e-05
texture error,6.022769e-06,-5.6060135e-06,5.02825e-06
mean perimeter,3.416035e-06,1.3174747e-06,5.6899494e-06
mean symmetry,2.3870684e-06,3.3958247e-07,6.1265478e-06
compactness error,1.1751138e-06,-1.1751137e-06,8.620189e-07
mean smoothness,0.0,0.0,0.0
mean fractal dimension,0.0,0.0,0.0
mean compactness,0.0,0.0,0.0
perimeter error,0.0,0.0,0.0
radius error,0.0,0.0,0.0
smoothness error,0.0,0.0,0.0
concave points error,0.0,0.0,0.0
symmetry error,0.0,0.0,0.0
worst smoothness,0.0,0.0,0.0
worst symmetry,0.0,0.0,0.0
worst fractal dimension,0.0,0.0,0.0
