feature,mean_abs_shap,mean_shap,std_shap
worst concave points,0.78327024,0.108808435,0.81241477
mean concave points,0.5522818,0.030429902,0.5623288
worst area,0.4421218,0.028186409,0.46999103
worst perimeter,0.356445,0.10545921,0.35771275
worst radius,0.2239913,-0.0123809045,0.25892898
worst texture,0.20157789,0.013592659,0.23952086
mean texture,0.19265075,-0.0020389387,0.2088087
worst concavity,0.1570661,0.062324014,0.16414417
area error,0.12717752,-0.018673647,0.1400593
mean concavity,0.035367567,0.018434893,0.038363554
perimeter error,0.019820616,-0.011209338,0.032660652
worst symmetry,0.01446515,0.002430978,0.020406138
mean radius,0.010870263,-0.0032161942,0.014394416
concavity error,0.0053109527,-0.0053109536,0.0034459657
mean smoothness,0.004758172,-0.0006093269,0.007504414
radius error,0.0,0.0,0.0
mean symmetry,0.0,0.0,0.0
texture error,0.0,0.0,0.0
mean area,0.0,0.0,0.0
mean perimeter,0.0,0.0,0.0
mean compactness,0.0,0.0,0.0
mean fractal dimension,0.0,0.0,0.0
symmetry error,0.0,0.0,0.0
fractal dimension error,0.0,0.0,0.0
compactness error,0.0,0.0,0.0
concave points error,0.0,0.0,0.0
smoothness error,0.0,0.0,0.0
worst smoothness,0.0,0.0,0.0
worst compactness,0.0,0.0,0.0
worst fractal dimension,0.0,0.0,0.0
