feature,mean_abs_shap,mean_shap,std_shap
worst concave points,0.7117990496023338,0.016001914098654268,0.7716644153014783
worst area,0.5994101322844373,-0.013708415579356474,0.659524565497983
mean concave points,0.5598170346093293,-0.01580040736059992,0.5795644919729599
worst perimeter,0.27543882413878296,0.032419938597367574,0.28191294527258365
mean texture,0.21254171147361114,-0.04723246995474914,0.23475051129384003
worst texture,0.19350744368711598,0.019873760294333152,0.23253215941378994
worst radius,0.16408299029790321,-0.05120091946994457,0.20792685937398006
worst concavity,0.1584822429947061,0.02058647481401631,0.1646036518198865
area error,0.0695852453819154,-0.040021421243736977,0.08913493669504521
mean concavity,0.06040384668038008,0.03203165450507049,0.06588530115436675
mean area,0.02657370217901593,-0.01513912401835949,0.037440735577343814
perimeter error,0.010121966945850328,-0.005382528746399818,0.015214053512548713
concavity error,0.009391137114585663,-0.003928637225750202,0.017568112429499867
worst smoothness,0.004534423578491293,-0.0004689604958600747,0.010390710949665555
worst compactness,0.004530311934071061,0.001759297106750383,0.006166690103339514
radius error,0.0033548202083096366,-0.0020722085695444176,0.005142968922738497
mean symmetry,0.0,0.0,0.0
mean fractal dimension,0.0,0.0,0.0
mean radius,0.0,0.0,0.0
mean perimeter,0.0,0.0,0.0
mean smoothness,0.0,0.0,0.0
mean compactness,0.0,0.0,0.0
texture error,0.0,0.0,0.0
symmetry error,0.0,0.0,0.0
compactness error,0.0,0.0,0.0
concave points error,0.0,0.0,0.0
smoothness error,0.0,0.0,0.0
fractal dimension error,0.0,0.0,0.0
worst symmetry,0.0,0.0,0.0
worst fractal dimension,0.0,0.0,0.0
